Age,YearsBP,TempC
7.26527,7265.27,-30.976
7.28223,7282.23,-30.78
7.2999,7299.9,-30.6744
7.318,7318,-30.5712
7.33372,7333.72,-30.5724
7.3513,7351.3,-30.472
7.36907,7369.07,-30.2812
7.38632,7386.32,-30.15
7.40322,7403.22,-29.9776
7.41969,7419.69,-29.8564
7.43669,7436.69,-29.8072
7.45405,7454.05,-30.0108
7.47127,7471.27,-30.1188
7.48772,7487.72,-30.1256
7.50461,7504.61,-30.2656
7.5222,7522.2,-30.308
7.53959,7539.59,-30.2796
7.55658,7556.58,-30.0988
7.57475,7574.75,-30.1288
7.59248,7592.48,-30.2872
7.60889,7608.89,-30.2936
7.62559,7625.59,-30.2704
7.64267,7642.67,-30.0944
7.65986,7659.86,-29.9088
7.67821,7678.21,-29.592
7.69546,7695.46,-29.3396
7.713,7713,-29.2832
7.73063,7730.63,-29.1944
7.74695,7746.95,-29.1532
7.76515,7765.15,-28.928
7.78312,7783.12,-28.8632
7.80033,7800.33,-28.8588
7.81732,7817.32,-28.702
7.83454,7834.54,-28.712
7.85147,7851.47,-28.7472
7.86834,7868.34,-28.9236
7.88577,7885.77,-29.1064
7.90358,7903.58,-29.1612
7.92131,7921.31,-29.162
7.9391,7939.1,-29.1468
7.95705,7957.05,-29.1308
7.97462,7974.62,-29.2384
7.99318,7993.18,-29.6408
8.01154,8011.54,-29.9208
8.02902,8029.02,-30.0864
8.04627,8046.27,-30.2788
8.06442,8064.42,-30.4052
8.08312,8083.12,-30.5756
8.10059,8100.59,-30.5459
8.11911,8119.11,-30.7749
8.13641,8136.41,-30.8758
8.15316,8153.16,-31.3526
8.17105,8171.05,-31.8086
8.19002,8190.02,-32.2392
8.21054,8210.54,-32.4422
8.22997,8229.97,-32.4
8.25054,8250.54,-32.3196
8.26913,8269.13,-32.2388
8.29001,8290.01,-32.1624
8.3098,8309.8,-32.0798
8.33024,8330.24,-32.0107
8.34858,8348.58,-31.9529
8.3659,8365.9,-31.7431
8.38456,8384.56,-31.3673
8.40455,8404.55,-30.9511
8.42404,8424.04,-30.6043
8.44256,8442.56,-30.389
8.461,8461,-30.3226
8.48008,8480.08,-30.381
8.49925,8499.25,-30.4508
8.51941,8519.41,-30.4508
8.53861,8538.61,-30.3911
8.55835,8558.35,-30.3098
8.57752,8577.52,-30.2165
8.59735,8597.35,-30.134
8.61528,8615.28,-30.1719
8.63264,8632.64,-30.1798
8.65181,8651.81,-30.1391
8.67076,8670.76,-30.1621
8.68911,8689.11,-30.0722
8.70761,8707.61,-29.9208
8.72678,8726.78,-29.8419
8.74769,8747.69,-29.8171
8.76607,8766.07,-29.7985
8.785,8785,-29.8242
8.80322,8803.22,-29.8979
8.82189,8821.89,-29.8682
8.84233,8842.33,-29.6979
8.86239,8862.39,-29.5147
8.88349,8883.49,-29.4211
8.90358,8903.58,-29.3893
8.9234,8923.4,-29.4413
8.94196,8941.96,-29.5777
8.96134,8961.34,-29.6355
8.98044,8980.44,-29.6404
9.00081,9000.81,-29.6642
9.02086,9020.86,-29.6547
9.04103,9041.03,-29.5281
9.06115,9061.15,-29.4456
9.08201,9082.01,-29.5914
9.1009,9100.9,-29.8447
9.12035,9120.35,-29.9694
9.13906,9139.06,-29.9547
9.15842,9158.42,-30.0505
9.17755,9177.55,-30.1407
9.19888,9198.88,-30.1385
9.19888,9198.88,-30.1777
9.21799,9217.99,-30.2914
9.23801,9238.01,-30.2703
9.25962,9259.62,-30.1954
9.28142,9281.42,-30.2263
9.30211,9302.11,-30.0948
9.32318,9323.18,-29.9703
9.34554,9345.54,-29.9569
9.36593,9365.93,-29.9826
9.38643,9386.43,-30.0367
9.40756,9407.56,-30.0664
9.42557,9425.57,-30.1734
9.44683,9446.83,-30.237
9.46809,9468.09,-30.2707
9.48887,9488.87,-30.3853
9.51004,9510.04,-30.4691
9.53224,9532.24,-30.6086
9.55597,9555.97,-30.7177
9.57895,9578.95,-30.6242
9.60142,9601.42,-30.6119
9.62397,9623.97,-30.4966
9.64699,9646.99,-30.1771
9.67046,9670.46,-29.9141
9.69374,9693.74,-29.8596
9.7157,9715.7,-29.8865
9.74141,9741.41,-29.8489
9.76375,9763.75,-29.9541
9.78686,9786.86,-30.1003
9.81031,9810.31,-30.3196
9.83391,9833.91,-30.422
9.85734,9857.34,-30.333
9.87968,9879.68,-30.4648
9.90224,9902.24,-30.6752
9.92533,9925.33,-30.5437
9.97194,9971.94,-30.4844
9.99627,9996.27,-30.5627
10.0166,10016.6,-30.4963
10.0284,10028.4,-30.4391
10.0522,10052.2,-30.4174
10.0644,10064.4,-30.415
10.0759,10075.9,-30.4835
10.0995,10099.5,-30.5596
10.1113,10111.3,-30.5419
10.1225,10122.5,-30.6009
10.1342,10134.2,-30.678
10.1474,10147.4,-30.7434
10.1601,10160.1,-30.8129
10.1728,10172.8,-30.8749
10.1728,10172.8,-30.8982
10.1862,10186.2,-30.9667
10.1991,10199.1,-31.0648
10.2124,10212.4,-31.1572
10.2255,10225.5,-31.2422
10.2392,10239.2,-31.3544
10.2521,10252.1,-31.4752
10.2641,10264.1,-31.5973
10.2761,10276.1,-31.7171
10.288,10288,-31.8275
10.3001,10300.1,-31.9245
10.3132,10313.2,-32.0223
10.3238,10323.8,-32.1138
10.3363,10336.3,-32.2064
10.3502,10350.2,-32.2957
10.3643,10364.3,-32.3982
10.3897,10389.7,-32.5263
10.4016,10401.6,-32.6119
10.4141,10414.1,-32.6914
10.428,10428,-32.7609
10.4399,10439.9,-32.8025
