siteName,latitude,longitude,age,pollenPercentage,pollenSum,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,tmin1,tmin2,tmin3,tmin4,tmin5,tmin6,tmin7,tmin8,tmin9,tmin10,tmin11,tmin12,tmax1,tmax2,tmax3,tmax4,tmax5,tmax6,tmax7,tmax8,tmax9,tmax10,tmax11,tmax12,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
Lower Lake,38.590035,-123.30498,299.0,20.5831903945,583.0,285.0,236.2,170.6,88.6,39.4,13.6,4.6,4.3,14.3,52.1,135.9,229.1,4.06,4.78,4.58,5.06,7.29,9.63,10.91,10.69,9.54,7.5,5.09,3.85,13.74,15.59,16.16,17.94,21.3,24.93,27.98,27.63,26.29,22.84,17.28,14.01,113.05666666666667,-99.22666666666667,-1501.1598587997985,95.374171410409758,10.91,4.2999999999999998,6.6100000000000003,18.113333333333333,254.33000000000001,254.33000000000001,17.91,245.68999999999997,27.98,13.74,23.810537960265286,81.900000000000006,43.340000000000003,14.446666666666667,26.846666666666664
Elkhorn Slough,36.82535,-121.76415,-23.0,2.73109243697,476.0,107.1,87.9,70.1,32.2,8.3,1.7,0.5,1.2,4.8,23.2,56.6,97.7,4.89,5.79,5.76,6.36,8.25,9.96,11.46,11.85,11.56,9.7,6.7,4.97,13.72,15.38,16.3,17.94,20.1,22.98,24.38,24.5,24.47,22.18,18.12,14.37,49.045833333333341,-32.8375,-289.31718061674007,36.874273881739768,11.85,0.5,11.35,13.789999999999999,102.78333333333335,102.78333333333335,12.223333333333334,234.44000000000003,24.5,13.720000000000001,19.089511438924376,73.349999999999994,43.469999999999999,14.49,23.953333333333333
Elkhorn Slough,36.82535,-121.76415,80.0,1.06194690265,565.0,80.6,74.5,68.3,35.8,10.2,2.2,0.6,1.3,4.2,17.6,39.5,68.3,4.37,5.37,5.27,5.86,7.88,9.75,11.19,11.23,10.46,8.36,5.48,4.14,13.09,14.47,14.79,16.08,18.33,21.61,23.21,23.17,22.77,20.4,16.69,13.5,41.038333333333334,-26.145,-245.95484477892754,28.081378418604899,11.23,0.59999999999999998,10.630000000000001,12.993333333333334,79.093333333333334,79.469999999999999,12.089999999999998,218.11,23.210000000000001,13.09,19.493853366831061,69.150000000000006,41.060000000000002,14.116666666666667,22.663333333333338
Elkhorn Slough,36.82535,-121.76415,377.0,0.943396226415,636.0,100.0,95.9,88.4,44.4,11.7,2.3,0.6,1.2,4.1,17.9,42.9,79.6,4.98,6.14,6.21,6.68,8.21,9.43,10.53,10.71,10.45,8.78,6.08,4.71,13.61,15.14,15.72,17.0,18.89,21.64,22.98,23.13,23.21,21.19,17.5,14.11,48.492500000000007,-33.0075,-326.4836795252225,36.520972542043111,10.710000000000001,0.59999999999999998,10.110000000000001,12.529999999999999,97.109999999999999,100.54333333333334,11.589999999999998,224.12,23.210000000000001,13.609999999999999,17.727984399716451,69.319999999999993,42.859999999999999,14.823333333333332,22.583333333333332
Elkhorn Slough,36.82535,-121.76415,1090.0,3.61990950226,442.0,120.5,105.4,85.6,41.5,11.5,2.4,0.7,1.5,4.8,20.9,50.4,97.5,5.09,6.06,5.89,6.07,7.33,8.39,9.53,9.96,10.08,8.76,6.27,4.93,13.49,14.9,15.41,16.62,18.43,21.12,22.55,22.94,23.32,21.48,17.77,14.19,52.588333333333331,-37.86166666666667,-403.64250177683016,41.986716517118708,10.08,0.69999999999999996,9.3800000000000008,12.189999999999998,113.16000000000001,113.16000000000001,10.826666666666668,222.22,23.32,13.49,17.8306772877893,68.810000000000002,42.579999999999998,14.193333333333333,22.203333333333333
Elkhorn Slough,36.82535,-121.76415,1744.0,2.5956284153,732.0,119.4,103.3,84.0,41.0,11.6,2.5,0.7,1.6,5.2,21.8,51.8,98.3,4.61,5.65,5.65,6.05,7.55,8.79,9.98,10.32,10.23,8.67,5.96,4.48,12.96,14.5,15.24,16.7,18.7,21.5,22.91,23.17,23.33,21.24,17.34,13.64,52.428333333333335,-37.771666666666654,-392.63686763686746,41.161706685003018,10.32,0.69999999999999996,9.620000000000001,12.676666666666668,111.91333333333334,111.91333333333334,11.296666666666667,221.23000000000002,23.329999999999998,12.960000000000001,19.171441870050181,69.409999999999997,41.100000000000001,13.700000000000001,22.526666666666667
Elkhorn Slough,36.82535,-121.76415,2046.0,3.29835082459,667.0,84.3,76.1,65.2,34.5,10.6,2.5,0.7,1.4,4.1,15.6,35.0,66.6,3.67,4.98,5.54,6.6,8.65,10.23,11.51,11.65,11.13,8.99,5.66,3.69,11.72,13.67,15.15,17.21,19.43,22.12,23.35,23.49,23.54,21.14,16.72,12.51,40.741666666666667,-25.358333333333334,-231.58295281582951,27.943375432391047,11.65,0.69999999999999996,10.950000000000001,13.496666666666664,79.779999999999987,79.930000000000007,12.663333333333332,220.04999999999998,23.539999999999999,11.720000000000001,21.923637035182633,70.379999999999995,37.899999999999999,13.513333333333334,22.986666666666665
Elkhorn Slough,36.82535,-121.76415,2400.0,2.13371266003,703.0,117.5,104.7,87.9,42.6,11.3,2.3,0.6,1.4,4.8,21.1,50.9,96.0,4.89,6.03,6.12,6.5,7.84,8.85,9.9,10.23,10.25,8.8,6.15,4.7,13.38,14.84,15.4,16.65,18.48,21.17,22.57,22.91,23.23,21.34,17.61,14.04,52.613333333333337,-37.57,-389.32642487046627,41.357118761130138,10.25,0.59999999999999998,9.6500000000000004,12.393333333333336,111.27333333333333,111.27333333333333,11.093333333333334,221.61999999999998,23.23,13.380000000000001,17.971488980765731,68.710000000000008,42.260000000000005,14.086666666666668,22.216666666666669
Elkhorn Slough,36.82535,-121.76415,3054.0,1.88172043011,372.0,101.7,98.4,98.6,53.0,14.5,2.9,0.8,1.8,6.2,26.2,56.2,89.4,4.43,5.21,4.87,5.13,6.76,8.31,9.76,10.19,10.05,8.46,5.8,4.39,12.9,13.72,13.62,14.8,17.31,21.14,23.33,23.79,23.66,21.34,17.43,13.84,52.754999999999995,-38.86166666666667,-413.86226482073135,38.324854968196988,10.19,0.80000000000000004,9.3899999999999988,12.933333333333332,104.40333333333335,104.40333333333335,11.253333333333336,216.88000000000002,23.789999999999999,12.9,21.763845966858128,70.780000000000001,40.240000000000002,13.413333333333334,22.75333333333333
Elkhorn Slough,36.82535,-121.76415,3368.0,2.63157894737,722.0,106.6,96.7,92.7,51.8,15.5,3.4,1.0,2.3,7.7,31.6,64.7,98.5,4.05,4.86,4.77,5.32,7.16,8.85,10.41,10.95,10.84,9.09,6.08,4.25,12.68,13.65,13.84,15.18,17.64,21.25,23.33,23.84,23.88,21.6,17.54,13.71,54.927500000000002,-40.48916666666667,-406.92629815745403,38.354330073886914,10.949999999999999,1.0,9.9499999999999993,14.4,104.98666666666666,104.98666666666666,12.303333333333333,218.14,23.879999999999999,12.68,21.888224787233462,71.049999999999997,40.039999999999999,13.346666666666666,22.806666666666668
