siteName,latitude,longitude,age,pollenPercentage,pollenSum,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,tmin1,tmin2,tmin3,tmin4,tmin5,tmin6,tmin7,tmin8,tmin9,tmin10,tmin11,tmin12,tmax1,tmax2,tmax3,tmax4,tmax5,tmax6,tmax7,tmax8,tmax9,tmax10,tmax11,tmax12
Elkhorn Slough,36.82535,-121.76415,2046.0,3.29835082459,667.0,84.3,76.1,65.2,34.5,10.6,2.5,0.7,1.4,4.1,15.6,35.0,66.6,3.67,4.98,5.54,6.6,8.65,10.23,11.51,11.65,11.13,8.99,5.66,3.69,11.72,13.67,15.15,17.21,19.43,22.12,23.35,23.49,23.54,21.14,16.72,12.51
Elkhorn Slough,36.82535,-121.76415,2400.0,2.13371266003,703.0,117.5,104.7,87.9,42.6,11.3,2.3,0.6,1.4,4.8,21.1,50.9,96.0,4.89,6.03,6.12,6.5,7.84,8.85,9.9,10.23,10.25,8.8,6.15,4.7,13.38,14.84,15.4,16.65,18.48,21.17,22.57,22.91,23.23,21.34,17.61,14.04
Elkhorn Slough,36.82535,-121.76415,3054.0,1.88172043011,372.0,101.7,98.4,98.6,53.0,14.5,2.9,0.8,1.8,6.2,26.2,56.2,89.4,4.43,5.21,4.87,5.13,6.76,8.31,9.76,10.19,10.05,8.46,5.8,4.39,12.9,13.72,13.62,14.8,17.31,21.14,23.33,23.79,23.66,21.34,17.43,13.84
Elkhorn Slough,36.82535,-121.76415,3368.0,2.63157894737,722.0,106.6,96.7,92.7,51.8,15.5,3.4,1.0,2.3,7.7,31.6,64.7,98.5,4.05,4.86,4.77,5.32,7.16,8.85,10.41,10.95,10.84,9.09,6.08,4.25,12.68,13.65,13.84,15.18,17.64,21.25,23.33,23.84,23.88,21.6,17.54,13.71
Elkhorn Slough,36.82535,-121.76415,3675.0,3.04347826087,690.0,123.4,108.1,86.8,38.4,9.3,1.8,0.5,1.1,4.1,19.8,51.7,100.7,5.74,6.41,5.69,5.64,7.19,8.84,10.3,10.55,10.18,8.61,6.3,5.41,14.33,15.33,15.18,16.09,18.18,21.53,23.36,23.66,23.61,21.56,18.07,14.92
Elkhorn Slough,36.82535,-121.76415,4006.0,2.81690140845,710.0,112.7,109.1,97.0,49.8,14.1,2.9,0.8,1.5,4.5,17.8,41.7,83.8,4.08,5.12,5.27,5.88,7.59,8.98,10.3,10.71,10.59,8.88,5.9,4.13,12.61,13.86,14.38,15.86,18.16,21.44,23.23,23.65,23.75,21.52,17.43,13.55
Elkhorn Slough,36.82535,-121.76415,4205.0,3.49040139616,573.0,98.9,97.6,95.0,45.8,11.3,2.2,0.6,1.2,4.3,19.4,46.7,81.7,5.33,6.18,5.83,6.08,7.74,9.32,10.72,10.99,10.64,8.96,6.37,5.13,13.79,14.85,14.9,16.0,18.19,21.55,23.39,23.73,23.71,21.58,17.88,14.5
Elkhorn Slough,36.82535,-121.76415,4548.0,6.82926829268,410.0,121.5,117.4,99.1,39.9,8.1,1.3,0.3,0.7,2.6,14.2,42.0,89.8,4.27,5.33,5.38,5.98,7.77,9.31,10.63,10.85,10.45,8.6,5.7,4.15,12.77,14.1,14.61,16.11,18.52,21.91,23.66,23.83,23.59,21.16,17.13,13.49
Elkhorn Slough,36.82535,-121.76415,4870.0,2.38429172511,713.0,73.6,77.8,84.5,47.3,12.6,2.3,0.6,1.2,3.9,16.0,35.0,59.3,3.52,4.79,5.3,6.21,8.02,9.37,10.57,10.86,10.62,8.73,5.53,3.57,11.83,13.43,14.43,16.2,18.46,21.43,22.94,23.2,23.27,20.95,16.71,12.68
Elkhorn Slough,36.82535,-121.76415,5231.0,3.5752979415,923.0,98.8,94.5,92.6,45.1,10.5,1.8,0.5,1.1,4.6,23.3,55.2,88.0,5.01,5.85,5.43,5.73,7.59,9.44,10.91,10.99,10.29,8.38,5.77,4.69,13.23,14.31,14.27,15.47,17.99,21.76,23.7,23.72,23.13,20.61,16.88,13.74
