SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,Taxon Name,Value,PollenSum,Percentage,Units,Element,Context,Depth,ColUnit
Alexander Lake,53.333333,-60.583333,,,2000.0,Picea,145.0,253.0,57.31225296442688,NISP,pollen,,0.0,ALEXLAKE
Alexander Lake,53.333333,-60.583333,,,2410.0,Picea,154.0,255.0,60.3921568627451,NISP,pollen,,10.0,ALEXLAKE
Alexander Lake,53.333333,-60.583333,,,2821.0,Picea,256.0,429.0,59.67365967365967,NISP,pollen,,20.0,ALEXLAKE
Alexander Lake,53.333333,-60.583333,,,3232.0,Picea,164.0,254.0,64.56692913385827,NISP,pollen,,30.0,ALEXLAKE
Alexander Lake,53.333333,-60.583333,,,3643.0,Picea,199.0,359.0,55.43175487465181,NISP,pollen,,40.0,ALEXLAKE
Alexander Lake,53.333333,-60.583333,,,4055.0,Picea,214.0,334.0,64.07185628742515,NISP,pollen,,50.0,ALEXLAKE
Alexander Lake,53.333333,-60.583333,,,4226.0,Picea,167.0,286.0,58.39160839160839,NISP,pollen,,60.0,ALEXLAKE
Alexander Lake,53.333333,-60.583333,,,4398.0,Picea,131.0,218.0,60.09174311926605,NISP,pollen,,70.0,ALEXLAKE
Alexander Lake,53.333333,-60.583333,,,4570.0,Picea,168.0,287.0,58.536585365853654,NISP,pollen,,80.0,ALEXLAKE
Alexander Lake,53.333333,-60.583333,,,4742.0,Picea,244.0,375.0,65.06666666666666,NISP,pollen,,90.0,ALEXLAKE
Alexander Lake,53.333333,-60.583333,,,4914.0,Picea,133.0,223.0,59.64125560538116,NISP,pollen,,100.0,ALEXLAKE
Alexander Lake,53.333333,-60.583333,,,5085.0,Picea,188.0,310.0,60.64516129032258,NISP,pollen,,110.0,ALEXLAKE
Alexander Lake,53.333333,-60.583333,,,5257.0,Picea,217.0,367.0,59.12806539509536,NISP,pollen,,120.0,ALEXLAKE
Alexander Lake,53.333333,-60.583333,,,5429.0,Picea,240.0,404.0,59.4059405940594,NISP,pollen,,130.0,ALEXLAKE
Alexander Lake,53.333333,-60.583333,,,5601.0,Picea,186.0,361.0,51.52354570637119,NISP,pollen,,140.0,ALEXLAKE
Alexander Lake,53.333333,-60.583333,,,5773.0,Picea,150.0,356.0,42.13483146067416,NISP,pollen,,150.0,ALEXLAKE
Alexander Lake,53.333333,-60.583333,,,5945.0,Picea,63.0,455.0,13.846153846153847,NISP,pollen,,160.0,ALEXLAKE
Alexander Lake,53.333333,-60.583333,,,5950.0,Picea,21.0,314.0,6.687898089171974,NISP,pollen,,170.0,ALEXLAKE
Alexander Lake,53.333333,-60.583333,,,5954.0,Picea,28.0,348.0,8.045977011494253,NISP,pollen,,177.0,ALEXLAKE
Alexander Lake,53.333333,-60.583333,,,5967.0,Picea,27.0,292.0,9.246575342465754,NISP,pollen,,200.0,ALEXLAKE
Alexander Lake,53.333333,-60.583333,,,5973.0,Picea,13.0,373.0,3.485254691689008,NISP,pollen,,210.0,ALEXLAKE
Alexander Lake,53.333333,-60.583333,,,5979.0,Picea,37.0,352.0,10.511363636363637,NISP,pollen,,220.0,ALEXLAKE
Alexander Lake,53.333333,-60.583333,,,5985.0,Picea,2.0,292.0,0.684931506849315,NISP,pollen,,230.0,ALEXLAKE
Alexander Lake,53.333333,-60.583333,,,5990.0,Picea,3.0,249.0,1.2048192771084338,NISP,pollen,,240.0,ALEXLAKE
Alexander Lake,53.333333,-60.583333,,,6000.0,Picea,6.0,300.0,2.0,NISP,pollen,,250.0,ALEXLAKE
Alexander Lake,53.333333,-60.583333,,,6002.0,Picea,2.0,10.0,20.0,NISP,pollen,,260.0,ALEXLAKE
Alexis Lake,52.516667,-57.033333,,,30.0,Picea,286.0,397.0,72.04030226700252,NISP,pollen,,527.0,ALEXISLK
Alexis Lake,52.516667,-57.033333,,,3209.0,Picea,352.0,477.0,73.79454926624737,NISP,pollen,,565.0,ALEXISLK
Alexis Lake,52.516667,-57.033333,,,4883.0,Picea,222.0,346.0,64.16184971098265,NISP,pollen,,585.0,ALEXISLK
Alexis Lake,52.516667,-57.033333,,,6098.0,Picea,237.0,482.0,49.1701244813278,NISP,pollen,,605.0,ALEXISLK
Alexis Lake,52.516667,-57.033333,,,6855.0,Picea,69.0,592.0,11.655405405405405,NISP,pollen,,625.0,ALEXISLK
Alexis Lake,52.516667,-57.033333,,,7613.0,Picea,171.0,615.0,27.80487804878049,NISP,pollen,,645.0,ALEXISLK
Alexis Lake,52.516667,-57.033333,,,8559.0,Picea,27.0,454.0,5.947136563876652,NISP,pollen,,670.0,ALEXISLK
Alexis Lake,52.516667,-57.033333,,,9127.0,Picea,68.0,576.0,11.805555555555555,NISP,pollen,,685.0,ALEXISLK
Alexis Lake,52.516667,-57.033333,,,10780.0,Picea,15.0,633.0,2.3696682464454977,NISP,pollen,,725.0,ALEXISLK
Alexis Lake,52.516667,-57.033333,,,11675.0,Picea,8.0,407.0,1.9656019656019657,NISP,pollen,,745.0,ALEXISLK
